paso,id,fenotipo,cambio_fenotipo,estrategia,pago,tau,theta
4,7-2,E,0,D,2.315,10,5
4,7-3,O,0,D,3.473,6,5
4,7-4,P,0,C,3.264,5,5
4,7-5,O,0,D,3.473,10,5
4,7-6,A,0,C,3.51,10,5
4,7-7,R,0,D,2.315,8,5
4,7-8,O,0,D,2.315,10,5
4,7-9,R,0,C,3.264,5,5
4,8-0,O,0,D,2.315,7,5
4,8-1,A,0,C,3.755,7,5
4,8-2,P,0,C,3.755,9,5
4,8-3,P,0,C,3.755,10,5
4,8-4,P,0,C,3.755,10,5
4,8-5,E,0,D,3.473,6,5
4,8-6,R,0,C,3.51,9,5
4,8-7,E,0,D,2.315,9,5
4,8-8,R,0,D,1.158,5,5
4,8-9,O,0,D,1.158,3,1
4,9-0,O,0,D,2.315,8,5
4,9-1,P,0,C,3.51,8,5
4,9-2,P,0,C,4.0,8,5
4,9-3,P,0,C,4.0,10,5
4,9-4,A,0,C,3.755,10,5
4,9-5,A,0,C,3.755,10,5
4,9-6,P,0,C,4.0,8,5
4,9-7,P,0,C,3.51,4,1
4,9-8,P,0,C,3.264,3,1
4,9-9,R,0,D,2.315,6,5
5,0-0,A,0,C,-2.058,7,6
5,0-1,E,0,D,3.644,10,6
5,0-2,A,0,C,-2.058,9,6
5,0-3,P,0,D,1.822,9,6
5,0-4,E,0,D,3.644,10,6
5,0-5,A,0,C,-0.543,9,6
5,0-6,P,0,D,1.822,6,6
5,0-7,E,0,D,0.0,9,6
5,0-8,E,0,D,0.0,8,6
5,0-9,P,0,D,3.644,4,2
5,1-0,O,0,D,1.822,8,6
5,1-1,P,0,D,0.0,3,1
5,1-2,P,0,D,3.644,9,6
5,1-3,E,0,D,0.0,9,6
5,1-4,P,0,D,0.0,3,1
5,1-5,E,0,D,1.822,8,6
5,1-6,P,0,D,0.0,3,2
5,1-7,O,0,D,0.0,6,6
5,1-8,E,0,D,1.822,4,2
5,1-9,O,1,D,0.0,5,0
5,2-0,O,0,D,0.0,3,1
5,2-1,O,0,D,1.822,10,6
5,2-2,P,1,C,-2.058,5,0
5,2-3,E,0,D,1.822,4,1
5,2-4,P,0,D,0.0,3,1
5,2-5,O,0,D,0.0,8,6
5,2-6,P,0,D,0.0,3,2
5,2-7,O,0,D,3.644,8,6
5,2-8,O,1,C,-2.058,4,0
5,2-9,O,0,D,1.822,4,0
5,3-0,O,0,D,0.0,4,0
5,3-1,O,0,D,1.822,10,6
5,3-2,P,0,D,1.822,8,6
5,3-3,E,0,D,0.0,4,0
5,3-4,E,0,D,0.0,3,1
5,3-5,E,0,D,0.0,3,2
5,3-6,E,0,D,3.644,5,2
5,3-7,R,0,C,-2.058,8,6
5,3-8,P,0,D,3.644,6,6
5,3-9,E,0,D,1.822,10,6
5,4-0,O,0,D,3.644,10,6
5,4-1,A,0,C,-2.058,3,1
5,4-2,O,0,D,1.822,9,6
5,4-3,O,0,D,0.0,3,1
5,4-4,E,0,D,0.0,6,6
5,4-5,E,0,D,1.822,10,6
5,4-6,A,0,C,-2.058,6,6
5,4-7,E,0,D,5.466,4,2
5,4-8,E,0,D,1.822,10,6
5,4-9,A,0,C,-2.058,6,6
5,5-0,O,0,D,1.822,8,6
