paso,id,fenotipo,cambio_fenotipo,estrategia,pago,tau,theta
4,5-6,E,0,D,3.838,10,5
4,5-7,E,0,D,1.919,6,5
4,5-8,E,0,D,1.919,3,1
4,5-9,P,0,C,3.758,3,1
4,6-0,A,0,C,3.919,10,5
4,6-1,P,0,C,3.919,9,5
4,6-2,A,0,C,3.919,10,5
4,6-3,E,0,D,5.758,10,5
4,6-4,E,0,D,1.919,9,5
4,6-5,P,0,C,3.838,4,0
4,6-6,O,0,D,5.758,8,5
4,6-7,E,1,C,3.677,4,0
4,6-8,E,0,D,3.838,10,5
4,6-9,P,0,C,3.919,8,5
4,7-0,A,0,C,3.919,8,5
4,7-1,P,0,C,3.919,9,5
4,7-2,P,0,C,4.0,9,5
4,7-3,A,0,C,3.758,3,1
4,7-4,E,0,D,3.838,7,5
4,7-5,R,0,C,3.838,9,5
4,7-6,O,1,C,3.758,4,0
4,7-7,E,1,D,3.838,3,0
4,7-8,E,0,D,3.838,7,5
4,7-9,A,0,C,3.919,10,5
4,8-0,E,0,D,5.758,6,5
4,8-1,R,0,D,3.838,7,5
4,8-2,R,0,C,3.758,7,5
4,8-3,O,0,D,3.838,10,5
4,8-4,O,1,D,1.919,3,0
4,8-5,O,0,D,3.838,3,0
4,8-6,E,0,D,1.919,5,5
4,8-7,E,0,D,1.919,5,5
4,8-8,R,0,C,3.838,10,5
4,8-9,P,0,C,3.838,6,5
4,9-0,A,0,C,3.758,6,5
4,9-1,E,0,D,3.838,9,5
4,9-2,E,0,D,1.919,5,5
4,9-3,O,0,D,3.838,10,5
4,9-4,P,0,C,3.838,3,1
4,9-5,P,0,C,3.758,3,1
4,9-6,P,1,D,1.919,4,0
4,9-7,E,0,D,3.838,6,5
4,9-8,A,0,C,3.838,6,5
4,9-9,O,0,D,7.677,10,5
5,0-0,A,0,C,3.899,10,6
5,0-1,A,0,C,3.798,9,6
5,0-2,E,0,D,3.798,5,1
5,0-3,P,0,C,3.798,5,2
5,0-4,R,0,C,3.899,10,6
5,0-5,E,0,D,3.798,10,6
5,0-6,O,0,D,3.798,4,2
5,0-7,P,0,C,3.798,8,6
5,0-8,P,0,C,3.899,10,6
5,0-9,A,0,C,3.798,10,6
5,1-0,E,0,D,3.798,9,6
5,1-1,P,0,C,3.697,3,2
5,1-2,E,0,D,3.798,6,6
5,1-3,P,0,C,3.798,6,6
5,1-4,P,0,C,3.798,9,6
5,1-5,E,0,D,1.899,9,6
5,1-6,E,0,D,3.798,4,1
5,1-7,P,0,C,3.798,10,6
5,1-8,O,0,D,3.798,10,6
5,1-9,E,0,D,3.798,9,6
5,2-0,E,0,D,3.798,6,6
5,2-1,O,0,D,3.798,10,6
5,2-2,O,0,D,1.899,3,1
5,2-3,O,0,D,1.899,6,6
5,2-4,R,0,D,1.899,8,6
5,2-5,R,0,D,1.899,3,2
5,2-6,R,0,C,3.697,7,6
5,2-7,A,0,C,3.798,6,6
5,2-8,E,0,D,5.697,10,6
5,2-9,P,0,C,3.596,3,2
5,3-0,A,0,C,3.697,3,2
5,3-1,A,0,C,3.798,7,6
5,3-2,P,0,C,3.697,6,6
5,3-3,E,0,D,3.798,9,6
5,3-4,E,0,D,0.0,3,1
5,3-5,O,0,D,0.0,9,6
5,3-6,E,0,D,3.798,9,6
5,3-7,E,0,D,3.798,3,2
5,3-8,P,0,C,3.596,3,2
5,3-9,E,0,D,5.697,10,6
5,4-0,E,0,D,1.899,5,0
5,4-1,A,1,D,1.899,5,0
5,4-2,E,0,D,5.697,10,6
5,4-3,P,0,C,3.697,3,2
5,4-4,R,1,D,1.899,5,0
5,4-5,R,0,D,3.798,9,6
5,4-6,P,0,C,3.596,3,2
5,4-7,E,0,D,1.899,3,2
5,4-8,E,0,D,1.899,3,1
5,4-9,E,0,D,1.899,5,0
5,5-0,O,0,D,3.798,9,6
5,5-1,E,0,D,3.798,9,6
5,5-2,P,0,C,3.798,9,6
5,5-3,R,0,C,3.798,10,6
5,5-4,E,0,D,3.798,9,6
5,5-5,A,0,C,3.697,4,0
5,5-6,E,0,D,3.798,9,6
5,5-7,E,0,D,0.0,5,0
5,5-8,E,0,D,1.899,4,2
5,5-9,P,0,C,3.697,3,2
5,6-0,A,0,C,3.899,10,6
5,6-1,P,0,C,3.899,10,6
5,6-2,A,0,C,3.899,10,6
5,6-3,E,0,D,5.697,10,6
5,6-4,E,0,D,1.899,8,6
5,6-5,P,0,C,3.697,3,1
5,6-6,O,0,D,1.899,7,6
5,6-7,E,0,D,0.0,3,1
5,6-8,E,0,D,1.899,9,6
5,6-9,P,0,C,3.899,9,6
5,7-0,A,0,C,3.899,9,6
5,7-1,P,0,C,3.899,10,6
5,7-2,P,0,C,3.899,10,6
5,7-3,A,0,C,3.697,3,2
5,7-4,E,0,D,1.899,8,6
5,7-5,R,0,D,1.899,8,6
5,7-6,O,0,D,0.0,3,1
5,7-7,E,0,D,0.0,3,1
5,7-8,E,0,D,1.899,8,6
5,7-9,A,0,C,3.899,10,6
5,8-0,E,0,D,5.697,7,6
5,8-1,R,0,D,1.899,6,6
5,8-2,R,0,D,1.899,6,6
5,8-3,O,0,D,1.899,9,6
5,8-4,O,0,D,1.899,3,1
5,8-5,O,0,D,1.899,4,1
5,8-6,O,1,D,1.899,4,0
5,8-7,R,1,D,0.0,4,0
5,8-8,R,0,D,3.798,10,6
5,8-9,E,1,C,3.697,5,0
5,9-0,E,1,C,3.697,5,0
5,9-1,E,0,D,3.798,10,6
5,9-2,E,0,D,0.0,4,0
5,9-3,O,0,D,3.798,9,6
5,9-4,P,0,C,3.798,4,2
5,9-5,P,0,C,3.798,3,2
5,9-6,P,0,C,3.697,3,1
5,9-7,E,0,D,5.697,7,6
5,9-8,R,1,C,3.697,5,0
5,9-9,O,0,D,7.596,10,6
6,0-0,A,0,C,3.758,10,7
6,0-1,A,0,C,3.758,10,7
6,0-2,E,0,D,3.758,6,2
6,0-3,P,0,C,3.758,6,3
6,0-4,R,0,C,3.879,10,7
6,0-5,E,0,D,3.758,10,7
6,0-6,O,0,D,3.758,5,3
6,0-7,P,0,C,3.758,9,7
6,0-8,P,0,C,3.758,10,7
6,0-9,A,0,C,3.758,10,7
6,1-0,E,0,D,3.758,10,7
6,1-1,P,0,C,3.636,3,3
6,1-2,E,0,D,3.758,5,0
6,1-3,P,0,C,3.758,7,7
6,1-4,P,0,C,3.879,10,7
6,1-5,E,0,D,1.879,8,7
6,1-6,E,0,D,3.758,3,2
6,1-7,P,0,C,3.758,9,7
6,1-8,O,0,D,3.758,10,7
6,1-9,E,0,D,3.758,10,7
6,2-0,E,0,D,3.758,7,7
6,2-1,O,0,D,3.758,10,7
6,2-2,O,0,D,1.879,3,2
6,2-3,O,0,D,3.758,7,7
6,2-4,R,0,C,3.636,7,7
6,2-5,R,0,D,3.758,4,3
6,2-6,A,1,C,3.636,6,0
6,2-7,A,0,C,3.758,7,7
6,2-8,E,0,D,5.636,10,7
6,2-9,P,0,C,3.515,3,3
6,3-0,A,0,C,3.636,3,3
6,3-1,A,0,C,3.879,8,7
6,3-2,A,1,C,3.636,5,0
6,3-3,E,0,D,3.758,10,7
6,3-4,E,0,D,3.758,4,2
6,3-5,O,0,D,0.0,8,7
6,3-6,E,0,D,3.758,10,7
6,3-7,E,0,D,3.758,4,3
6,3-8,P,0,C,3.515,3,3
6,3-9,E,0,D,5.636,10,7
6,4-0,E,0,D,3.758,6,1
6,4-1,A,0,C,3.636,4,1
6,4-2,E,0,D,7.515,10,7
6,4-3,P,0,C,3.636,4,3
6,4-4,R,0,C,3.636,6,1
6,4-5,R,0,D,5.636,10,7
6,4-6,P,0,C,3.515,3,3
6,4-7,E,0,D,1.879,3,3
6,4-8,E,0,D,1.879,3,2
6,4-9,E,0,D,1.879,6,1
6,5-0,O,0,D,3.758,8,7
6,5-1,E,0,D,5.636,10,7
6,5-2,P,0,C,3.636,8,7
6,5-3,R,0,D,3.758,10,7
6,5-4,E,0,D,3.758,8,7
6,5-5,A,0,C,3.636,3,1
6,5-6,E,0,D,3.758,10,7
6,5-7,E,0,D,0.0,4,1
6,5-8,E,0,D,1.879,3,3
6,5-9,P,0,C,3.636,3,3
6,6-0,A,0,C,3.879,10,7
6,6-1,P,0,C,3.879,10,7
6,6-2,A,0,C,3.879,10,7
6,6-3,E,0,D,3.758,9,7
6,6-4,E,0,D,1.879,9,7
6,6-5,P,0,C,3.636,3,2
6,6-6,O,0,D,1.879,6,0
6,6-7,E,0,D,0.0,3,2
6,6-8,E,0,D,1.879,8,7
6,6-9,P,0,C,3.879,10,7
6,7-0,A,0,C,3.879,10,7
6,7-1,P,0,C,3.879,10,7
6,7-2,P,0,C,3.879,10,7
6,7-3,A,0,C,3.636,3,3
6,7-4,E,0,D,1.879,7,7
6,7-5,R,0,D,1.879,7,7
6,7-6,O,0,D,0.0,3,2
6,7-7,E,0,D,1.879,3,2
6,7-8,E,0,D,1.879,7,7
6,7-9,A,0,C,3.758,10,7
6,8-0,E,0,D,1.879,8,7
6,8-1,E,1,D,1.879,5,0
6,8-2,P,1,D,1.879,5,0
6,8-3,O,0,D,1.879,8,7
6,8-4,O,0,D,1.879,4,2
6,8-5,O,0,D,1.879,3,2
6,8-6,O,0,D,3.758,3,1
6,8-7,R,0,C,3.515,3,1
6,8-8,R,0,D,1.879,9,7
6,8-9,E,0,D,1.879,4,1
6,9-0,E,0,D,1.879,4,1
6,9-1,E,0,D,1.879,10,7
